Date,Total_Accidents
2017-04-02,18
2017-04-03,39
2017-04-04,32
2017-04-05,42
2017-04-06,48
2017-04-07,36
2017-04-08,33
2017-04-09,21
2017-04-10,22
2017-04-11,53
2017-04-12,34
2017-04-13,19
2017-04-14,14
2017-04-15,21
2017-04-16,14
2017-04-17,28
2017-04-18,34
2017-04-19,41
2017-04-20,40
2017-04-21,18
2017-04-22,19
2017-04-23,15
2017-04-24,37
2017-04-25,32
2017-04-26,37
2017-04-27,43
2017-04-28,20
2017-04-29,35
2017-04-30,13
2017-05-01,6
2017-05-02,47
2017-05-03,43
2017-05-04,42
2017-05-05,55
2017-05-06,39
2017-05-07,17
2017-05-08,35
2017-05-09,38
2017-05-10,45
2017-05-11,35
2017-05-12,45
2017-05-13,34
2017-05-14,26
2017-05-15,42
2017-05-16,36
2017-05-17,35
2017-05-18,42
2017-05-19,28
2017-05-20,24
2017-05-21,23
2017-05-22,35
2017-05-23,47
2017-05-24,47
2017-05-25,38
2017-05-26,28
2017-05-27,33
2017-05-28,24
2017-05-29,23
2017-05-30,31
2017-05-31,26
2017-06-01,45
2017-06-02,38
2017-06-03,28
2017-06-04,17
2017-06-05,34
2017-06-06,40
2017-06-07,44
2017-06-08,40
2017-06-09,36
2017-06-10,22
2017-06-11,16
2017-06-12,44
2017-06-13,42
2017-06-14,32
2017-06-15,24
2017-06-16,42
2017-06-17,28
2017-06-18,17
2017-06-19,43
2017-06-20,37
2017-06-21,36
2017-06-22,39
2017-06-23,22
2017-06-24,12
2017-06-25,11
2017-06-26,28
2017-06-27,27
2017-06-28,25
2017-06-29,31
2017-06-30,37
2017-07-01,26
2017-07-02,14
2017-07-03,50
2017-07-04,38
2017-07-05,41
2017-07-06,42
2017-07-07,34
2017-07-08,29
2017-07-09,32
2017-07-10,25
2017-07-11,36
2017-07-12,29
2017-07-13,30
2017-07-14,31
2017-07-15,22
2017-07-16,26
2017-07-17,28
2017-07-18,29
2017-07-19,44
2017-07-20,31
2017-07-21,42
2017-07-22,35
2017-07-23,14
2017-07-24,25
2017-07-25,27
2017-07-26,34
2017-07-27,33
2017-07-28,25
2017-07-29,27
2017-07-30,20
2017-07-31,46
2017-08-01,44
2017-08-02,42
2017-08-03,43
2017-08-04,39
2017-08-05,28
2017-08-06,14
2017-08-07,38
2017-08-08,44
2017-08-09,42
2017-08-10,40
2017-08-11,34
2017-08-12,26
2017-08-13,20
2017-08-14,37
2017-08-15,39
2017-08-16,38
2017-08-17,40
2017-08-18,37
2017-08-19,30
2017-08-20,22
2017-08-21,38
2017-08-22,38
2017-08-23,33
2017-08-24,32
2017-08-25,25
2017-08-26,34
2017-08-27,17
2017-08-28,36
2017-08-29,38
2017-08-30,34
2017-08-31,40
2017-09-01,34
2017-09-02,29
2017-09-03,20
2017-09-04,27
2017-09-05,36
2017-09-06,43
2017-09-07,20
2017-09-08,26
2017-09-09,35
2017-09-10,10
2017-09-11,39
2017-09-12,27
2017-09-13,38
2017-09-14,32
2017-09-15,31
2017-09-16,25
2017-09-17,28
2017-09-18,26
2017-09-19,29
2017-09-20,37
2017-09-21,39
2017-09-22,36
2017-09-23,25
2017-09-24,13
2017-09-25,33
2017-09-26,26
2017-09-27,37
2017-09-28,38
2017-09-29,44
2017-09-30,40
2017-10-01,24
2017-10-02,34
2017-10-03,34
2017-10-04,24
2017-10-05,40
2017-10-06,41
2017-10-07,23
2017-10-08,23
2017-10-09,51
2017-10-10,44
2017-10-11,45
2017-10-12,16
2017-10-13,25
2017-10-14,20
2017-10-15,13
2017-10-16,28
2017-10-17,42
2017-10-18,44
2017-10-19,40
2017-10-20,36
2017-10-21,30
2017-10-22,20
2017-10-23,47
2017-10-24,44
2017-10-25,39
2017-10-26,43
2017-10-27,37
2017-10-28,34
2017-10-29,13
2017-10-30,32
2017-10-31,49
2017-11-01,43
2017-11-02,12
2017-11-03,34
2017-11-04,20
2017-11-05,23
2017-11-06,34
2017-11-07,39
2017-11-08,48
2017-11-09,34
2017-11-10,51
2017-11-11,36
2017-11-12,13
2017-11-13,52
2017-11-14,43
2017-11-15,22
2017-11-16,40
2017-11-17,54
2017-11-18,24
2017-11-19,18
2017-11-20,39
2017-11-21,32
2017-11-22,39
2017-11-23,51
2017-11-24,51
2017-11-25,33
2017-11-26,23
2017-11-27,47
2017-11-28,43
2017-11-29,38
2017-11-30,34
2017-12-01,31
2017-12-02,43
2017-12-03,20
2017-12-04,40
2017-12-05,37
2017-12-06,38
2017-12-07,47
2017-12-08,28
2017-12-09,33
2017-12-10,13
2017-12-11,45
2017-12-12,59
2017-12-13,34
2017-12-14,37
2017-12-15,49
2017-12-16,39
2017-12-17,18
2017-12-18,34
2017-12-19,48
2017-12-20,34
2017-12-21,53
2017-12-22,39
2017-12-23,26
2017-12-24,15
2017-12-25,6
2017-12-26,30
2017-12-27,30
2017-12-28,36
2017-12-29,31
2017-12-30,21
2017-12-31,17
2018-01-01,8
2018-01-02,22
2018-01-03,33
2018-01-04,34
2018-01-05,39
2018-01-06,24
2018-01-07,15
2018-01-08,35
2018-01-09,33
2018-01-10,26
2018-01-11,34
2018-01-12,32
